Id,Nodes,Syr_dat,Tyr_dat,Source,Target
1,"n10,n1",2010,2005,n10,n1
2,"n100,n1",2008,2005,n100,n1
3,"n1006,n1",2019,2005,n1006,n1
4,"n1007,n1",2015,2005,n1007,n1
5,"n1009,n1",2013,2005,n1009,n1
6,"n1012,n1",2015,2005,n1012,n1
7,"n102,n1",2010,2005,n102,n1
8,"n1037,n1",2016,2005,n1037,n1
9,"n1038,n1",2014,2005,n1038,n1
10,"n1043,n1",2015,2005,n1043,n1
11,"n1049,n1",2015,2005,n1049,n1
12,"n1056,n1",2015,2005,n1056,n1
13,"n106,n1",2009,2005,n106,n1
14,"n1067,n1",2015,2005,n1067,n1
15,"n1069,n1",2017,2005,n1069,n1
16,"n107,n1",2010,2005,n107,n1
17,"n1075,n1",2017,2005,n1075,n1
18,"n1076,n1",2017,2005,n1076,n1
19,"n1079,n1",2017,2005,n1079,n1
20,"n1080,n1",2014,2005,n1080,n1
21,"n1081,n1",2017,2005,n1081,n1
22,"n1083,n1",2014,2005,n1083,n1
23,"n1085,n1",2016,2005,n1085,n1
24,"n1091,n1",2016,2005,n1091,n1
25,"n1096,n1",2013,2005,n1096,n1
26,"n1099,n1",2018,2005,n1099,n1
27,"n110,n1",2014,2005,n110,n1
28,"n1104,n1",2014,2005,n1104,n1
29,"n1105,n1",2018,2005,n1105,n1
30,"n1107,n1",2014,2005,n1107,n1
31,"n1108,n1",2017,2005,n1108,n1
32,"n111,n1",2016,2005,n111,n1
33,"n1111,n1",2016,2005,n1111,n1
34,"n1114,n1",2016,2005,n1114,n1
35,"n1116,n1",2017,2005,n1116,n1
36,"n112,n1",2013,2005,n112,n1
37,"n1122,n1",2012,2005,n1122,n1
38,"n1123,n1",2017,2005,n1123,n1
39,"n1124,n1",2018,2005,n1124,n1
40,"n1125,n1",2017,2005,n1125,n1
41,"n113,n1",2008,2005,n113,n1
42,"n1130,n1",2019,2005,n1130,n1
43,"n1132,n1",2018,2005,n1132,n1
44,"n1138,n1",2016,2005,n1138,n1
45,"n114,n1",2012,2005,n114,n1
46,"n1142,n1",2019,2005,n1142,n1
47,"n1144,n1",2018,2005,n1144,n1
48,"n1145,n1",2016,2005,n1145,n1
49,"n1146,n1",2013,2005,n1146,n1
50,"n115,n1",2007,2005,n115,n1
51,"n1150,n1",2019,2005,n1150,n1
